INFO: Waiting for solution ...
INFO: Algorithm took 0.008 seconds.
INFO: Step 001 - from (1, 1) to (0, 1) ; cost 1
INFO: Step 080 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 081 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 082 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 083 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 084 - from (3, 1) to (3, 2) ; cost 1
INFO: Step 085 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 086 - from (0, 2) to (0, 3) ; cost 1
INFO: Step 087 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 088 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 089 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 090 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 091 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 092 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 093 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 094 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 095 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 096 - from (0, 3) to (0, 1) ; cost 2
INFO: Step 097 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 098 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 099 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 100 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 101 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 102 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 103 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 104 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 105 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 106 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 107 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 108 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 109 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 110 - from (3, 0) to (3, 1) ; cost 1
INFO: Step 111 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 112 - from (0, 1) to (0, 0) ; cost 1
INFO: Step 113 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 114 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 115 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 116 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 117 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 118 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 119 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 120 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 121 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 122 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 123 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 124 - from (2, 3) to (2, 0) ; cost 3
INFO: Path length is 124 steps.
INFO: Path cost is 276 units.
